rpe,reps,peripheral,central
8.0,8,1.10,0.43
8.0,9,1.12,0.38
8.0,10,1.13,0.33
8.0,11,1.13,0.29
8.0,12,1.13,0.25
8.5,1,0.37,1.00
8.5,2,0.64,1.26
8.5,3,0.84,1.23
8.5,4,0.99,1.09
8.5,5,1.09,0.93
8.5,6,1.17,0.76
8.5,7,1.21,0.62
8.5,8,1.24,0.51
8.5,9,1.26,0.44
8.5,10,1.27,0.37
8.5,11,1.28,0.32
8.5,12,1.27,0.28
9.0,1,0.41,1.28
9.0,2,0.72,1.58
9.0,3,0.95,1.52
9.0,4,1.12,1.32
9.0,5,1.24,1.13
9.0,6,1.32,0.92
9.0,7,1.37,0.74
9.0,8,1.40,0.60
9.0,9,1.42,0.48
9.0,10,1.44,0.43
9.0,11,1.44,0.36
9.0,12,1.43,0.32
9.5,1,0.47,1.79
9.5,2,0.82,1.99
9.5,3,1.08,1.89
9.5,4,1.27,1.65
9.5,5,1.40,1.36
9.5,6,1.49,1.12
9.5,7,1.55,0.89
9.5,8,1.59,0.71
9.5,9,1.61,0.57
9.5,10,1.62,0.49
9.5,11,1.62,0.41
9.5,12,1.61,0.35
10.0,1,0.54,2.48
10.0,2,0.93,2.56
10.0,3,1.22,2.36
10.0,4,1.43,2.02
10.0,5,1.58,1.65
10.0,6,1.69,1.35
10.0,7,1.76,1.07
10.0,8,1.80,0.85
10.0,9,1.81,0.67
10.0,10,1.82,0.53
10.0,11,1.83,0.47
10.0,12,1.82,0.40
