# The exercise library. Ships with the app and is shared by every user.
#
# When you create an exercise in the app it is written to your own log repo so
# it works immediately and offline, and the app opens a pull request adding it
# here. Your library is therefore this file plus your not-yet-merged additions.
#
# Blank cells take defaults: base_lift = none, unilateral = false,
# load_type = external, default_unit = absolute. Lists use "/" so nothing is quoted.
#
# There is no exercise called "deadlift". Sumo and conventional are different
# movements that compete under one event, so both sit at tier "comp".
id,name,base_lift,tier,unilateral,load_type,default_unit,primary,secondary,aux
lateral_raise,Lateral Raise,,acc,,,,front_delts,,
rear_delt_fly,Rear Delt Fly,,acc,,,,rear_delts,upper_back,
triceps_pushdown,Triceps Pushdown,bench,acc,,,pins,triceps,,
overhead_triceps_ext,Overhead Triceps Extension,bench,acc,,,,triceps,,
skullcrusher,Skullcrusher,bench,acc,,,,triceps,,
barbell_curl,Barbell Curl,,acc,,,,biceps,,
hammer_curl,Hammer Curl,,acc,,,,biceps,forearms,
cable_fly,Cable Fly,bench,acc,,,pins,pecs,front_delts,

# --- trunk ---
plank,Plank,,acc,,none,,abs,front_delts,
ab_wheel,Ab Wheel,,acc,,bw_plus,,abs,lats,
hanging_leg_raise,Hanging Leg Raise,,acc,,bw_plus,,abs/hip_flexors,forearms/lats,
suitcase_carry,Suitcase Carry,,acc,true,,,abs/lower_back,forearms/upper_back,
